Greek (raw TSV),Normalized variants (keys),English from TSV
Γράφω,γραφω,Uploaded
Το πρωί,πρωι,Uploaded
Η άσκηση,ασκηση,Uploaded
Για πόσον καιρό;,για ποσον καιρο,Uploaded
Ζεστός / ζεστή / ζεστό,ζεστη; ζεστο; ζεστος,Uploaded
Φυσικά,φυσικα,Uploaded
Δίνω,δινω,Uploaded
Μα είστε νέα,μα ειστε νεα,Uploaded
Ψάχνω,ψαχνω,Uploaded
Η Εθνική τράπεζα,εθνικη τραπεζα,Uploaded
Τα χρόνια (οι χρόνοι - only for verb conjugations),χρονια; χρονια οι χρονοι,Uploaded
Χορεύω,χορευω,Uploaded
Το άτομο,ατομο,Uploaded
Η πολυκατοικία,πολυκατοικια,Uploaded
Κρύος /κρύα / κρύο,κρυα; κρυο; κρυος,Uploaded
Καινούργιος /καινούργια / καινούργιο,καινουργια; καινουργιο; καινουργιος,Uploaded
Μέτριος / μέτρια / μέτριο,μετρια; μετριο; μετριος,Uploaded
Έχει ντους ή μπάνιο;,εχει ντους; μπανιο,Uploaded
Το αλάτι,αλατι,Uploaded
Το πιπέρι,πιπερι,Uploaded
Ανεβαίνω,ανεβαινω,Uploaded
Κατεβαίνω,κατεβαινω,Uploaded
Στρίβω,στριβω,Uploaded
Βγαίνω (έξω),βγαινω; βγαινω εξω,Uploaded
Μπαίνω (μέσα),μπαινω; μπαινω μεσα,Uploaded
Γκρινιάζω,γκρινιαζω,Uploaded
Κάνω στάση,κανω σταση,Uploaded
(ε)πάνω,επανω; πανω,Uploaded
Κάτω,κατω,Uploaded
Παρακάτω,παρακατω,Uploaded
Ακριβώς,ακριβως,Uploaded
Γρήγορα,γρηγορα,Uploaded
Πάλι,παλι,Uploaded
Όμως,ομως,Uploaded
Η γωνία,γωνια,Uploaded
Το τετράγωνο,τετραγωνο,Uploaded
"Πιο αργά, παρακαλώ",παρακαλω; πιο αργα,Uploaded
Η λεωφόρος,λεωφορος,Uploaded
Η εκκλησία,εκκλησια,Uploaded
Το δώρο,δωρο,Uploaded
Παίρνω,παιρνω,Uploaded
Λεπτός / λεπτή / λεπτό,λεπτη; λεπτο; λεπτος,Uploaded
Βραδινός / βραδινή / βραδινό,βραδινη; βραδινο; βραδινος,Uploaded
Βάζω,βαζω,Uploaded
Σωστό,σωστο,Uploaded
Λάθος,λαθος,Uploaded
Παλιός / παλιά / παλιό,παλια; παλιο; παλιος,Uploaded
Ο πίνακας,πινακας,Uploaded
Το καθαριστήριο,καθαριστηριο,Uploaded
Ο υδραυλικός,υδραυλικος,Uploaded
Η πιτσαρία,πιτσαρια,Uploaded
Το ζαχαροπλαστείο,ζαχαροπλαστειο,Uploaded
Κανένας / καμιά / κανένα,καμια; κανενα; κανενας,Uploaded
Το βιβλιοπωλείο,βιβλιοπωλειο,Uploaded
Ο ηλεκτρολόγος,ηλεκτρολογος,Uploaded
Το ανθοπωλείο,ανθοπωλειο,Uploaded
Το μαγιό,μαγιο,Uploaded
Χρόνια πολλά!,χρονια πολλα,Uploaded
Να τα εκατοστίσεις!,να τα εκατοστισεις,Uploaded
Ταξιδεύω,ταξιδευω,Uploaded
Το μεσημέρι,μεσημερι,Uploaded
Το απόγευμα,απογευμα,Uploaded
Το βράδυ,βραδυ,Uploaded
Η νύχτα,νυχτα,Uploaded
Τα μεσάνυχτα,μεσανυχτα,Uploaded
Νωρίς,νωρις,Uploaded
Αργά,αργα,Uploaded
Μιλάω / μιλώ,μιλαω; μιλω,Uploaded
Μπορώ,μπορω,Uploaded
Φτάνω,φτανω,Uploaded
Φεύγω,φευγω,Uploaded
Ακούω,ακουω,Uploaded
Φταίω,φταιω,Uploaded
Αγαπάω,αγαπαω,Uploaded
Πεινάω,πειναω,Uploaded
Διψάω,διψαω,Uploaded
Σταματάω,σταματαω,Uploaded
Τραγουδάω,τραγουδαω,Uploaded
Ξεκινάω,ξεκιναω,Uploaded
Περνάω (από),περναω; περναω απο,Uploaded
Προτιμάω,προτιμαω,Uploaded
Περπατάω,περπαταω,Uploaded
Ξυπνάω,ξυπναω,Uploaded
Αργώ,αργω,Uploaded
Ανησυχώ,ανησυχω,Uploaded
Συγχωρώ,συγχωρω,Uploaded
Οδηγώ,οδηγω,Uploaded
Τηλεφωνώ,τηλεφωνω,Uploaded
Ζω,ζω,Uploaded
Κλαίω,κλαιω,Uploaded
Η γραμμή,γραμμη,Uploaded
Ποτέ,ποτε,Uploaded
Ο σταθμός,σταθμος,Uploaded
Γύρω,γυρω,Uploaded
Βγάζω βόλτα το(ν) σκύλο.,βγαζω βολτα το σκυλο; βγαζω βολτα τον σκυλο,Uploaded
Βγάζω (το πουλόβερ μου),βγαζω; βγαζω το πουλοβερ μου,Uploaded
Το πλοίο,πλοιο,Uploaded
Το τρένο,τρενο,Uploaded
Το ποδήλατο,ποδηλατο,Uploaded
Η μηχανή,μηχανη,Uploaded
Με τα πόδια.,με τα ποδια,Uploaded
Κακός / κακή / κακό,κακη; κακο; κακος,Uploaded
Πάντως,παντως,Uploaded
Μάλλον,μαλλον,Uploaded
Πάντα,παντα,Uploaded
Συνήθως,συνηθως,Uploaded
Τα νέα,νεα,Uploaded
Σπάνια,σπανια,Uploaded
Το μεσημεριανό,μεσημεριανο,Uploaded
Το βραδινό,βραδινο,Uploaded
Γυρίζω,γυριζω,Uploaded
Καπνίζω,καπνιζω,Uploaded
Τότε,τοτε,Uploaded
