Greek (raw from TSV),Greek (normalized key),English (from TSV)
Βγάζω βόλτα το(ν) σκύλο.,βγαζω βολτα το(ν) σκυλο,Uploaded
Βγάζω (το πουλόβερ μου),βγαζω (το πουλοβερ μου),Uploaded
Τα πόδια.,ποδια,Uploaded
Κακός / κακή / κακό,κακος / κακη / κακο,Uploaded
Δύσκολος / δύσκολη / δύσκολο,δυσκολος / δυσκολη / δυσκολο,Uploaded
Εύκολος / εύκολη / εύκολο,ευκολος / ευκολη / ευκολο,Uploaded
Η καρτέλα,καρτελα,Uploaded
Γνωστός / γνωστή / γνωστό,γνωστος / γνωστη / γνωστο,Uploaded
Πολύ γνωστή μάρκα.,πολυ γνωστη μαρκα,Uploaded
Πάω για ύπνο,παω για υπνο,Uploaded
Το ραδιόφωνο,ραδιοφωνο,Uploaded
Η φορά,φορα,Uploaded
Μια φορά,μια φορα,Uploaded
Πάω για ψώνια.,παω για ψωνια,Uploaded
Τα ψώνια,ψωνια,Uploaded
Κάνω σπορ,κανω σπορ,Uploaded
Η παρέα,παρεα,Uploaded
Πώς περνάς την ημέρα σου;,πως περνας την ημερα σου,Uploaded
Αλήθεια,αληθεια,Uploaded
Ακόμα,ακομα,Uploaded
Η πατάτα,πατατα,Uploaded
Οι γεμιστές ντομάτες,γεμιστες ντοματες,Uploaded
Η χωριάτικη σαλάτα,χωριατικη σαλατα,Uploaded
Οι τηγανητές πατάτες,τηγανητες πατατες,Uploaded
Αρνάκι φρικασέ,αρνακι φρικασε,Uploaded
ούτε > δεν περιμένει ούτε την Αλίκη ούτε τον Κώστα.,ουτε > δεν περιμενει ουτε την αλικη ουτε τον κωστα,Uploaded
Ο / η οδηγός,/ η οδηγος,Uploaded
Ο Νίκος είναι πολύ καλός φίλος μου.,νικος ειναι πολυ καλος φιλος μου,Uploaded
Μένει μόνος του.,μενει μονος του,Uploaded
Κάνω ένα τηλεφώνημα,κανω ενα τηλεφωνημα,Uploaded
Το σαλόνι,σαλονι,Uploaded
Το φλυτζάνι,φλυτζανι,Uploaded
Το πιατάκι,πιατακι,Uploaded
Το κουταλάκι,κουταλακι,Uploaded
Τα κολοκυθάκια,κολοκυθακια,Uploaded
Τα καλαμάρια,καλαμαρια,Uploaded
Η μακαρονάδα,μακαροναδα,Uploaded
Καθόλου > δεν πεινάω καθόλου / δεν υπάρχει καθόλου φαγητό,καθολου > δεν πειναω καθολου / δεν υπαρχει καθολου φαγητο,Uploaded
Παραγγέλνω,παραγγελνω,Uploaded
Τα λαζάνια,λαζανια,Uploaded
Το φιλί / τα φιλιά,φιλι / τα φιλια,Uploaded
Ο ίδιος,ιδιος,Uploaded
Το τραμ,τραμ,Uploaded
Κάθε πότε περνάει το μετρό;,καθε ποτε περναει το μετρο,Uploaded
Πάω με το μετρό / ...,παω με το μετρο /,Uploaded
Επόμενος / επόμενη / επόμενο,επομενος / επομενη / επομενο,Uploaded
Μήπως έχετε (εισιτήρια) και για το μετρό;,μηπως εχετε (εισιτηρια) και για το μετρο,Uploaded
Ένα εισιτήριο με επιστροφή,ενα εισιτηριο με επιστροφη,Uploaded
Με επιστροφή,με επιστροφη,Uploaded
Το αεροπλάνο πόση ώρα κάνει;,αεροπλανο ποση ωρα κανει,Uploaded
... Μισό λεπτό ...,μισο λεπτο,Uploaded
Δεν έχει τρένο από Αθήνα για Θεσσαλονίκη.,δεν εχει τρενο απο αθηνα για θεσσαλονικη,Uploaded
Το τρένο ξεκινάει από τη Θεσσαλονίκη στις 8 το βράδυ.,τρενο ξεκιναει απο τη θεσσαλονικη στις 8 το βραδυ,Uploaded
Μία ώρα περίπου,μια ωρα περιπου,Uploaded
Κοστίζω,κοστιζω,Uploaded
Το μπουκάλι,μπουκαλι,Uploaded
Η αγγελία,αγγελια,Uploaded
(ε)χθές,ε)χθες,Uploaded
Κάνω / στρώνω το τραπέζι,κανω / στρωνω το τραπεζι,Uploaded
Ο σερβιτόρος / το γκαρσόν(ι),σερβιτορος / το γκαρσον(ι),Uploaded
Το μπουκάλι κρασί,μπουκαλι κρασι,Uploaded
Σερβίρω (το πιάτο),σερβιρω (το πιατο),Uploaded
Δεν υπάρχει κανείς.,δεν υπαρχει κανεις,Uploaded
τρελή,τρελη,Uploaded
Τα μακαρόνια,μακαρονια,Uploaded
Τα ζυμαρικά,ζυμαρικα,Uploaded
Και τι ώρα φτάνει;,και τι ωρα φτανει,Uploaded
Το απλό εισιτήριο,απλο εισιτηριο,Uploaded
Το εισιτήριο τουριστική θέση,εισιτηριο τουριστικη θεση,Uploaded
Το εισιτήριο πρώτη θέση,εισιτηριο πρωτη θεση,Uploaded
Πιο φτηνό,πιο φτηνο,Uploaded
Πόσα θέλετε;,ποσα θελετε,Uploaded
Ίδιος / ίδια / ίδιο,ιδιος / ιδια / ιδιο,Uploaded
Φτάνει,φτανει,Uploaded
Κάνει / έχει κρύο,κανει / εχει κρυο,Uploaded
Κάνει / έχει ζέστη,κανει / εχει ζεστη,Uploaded
Τι καιρό κάνει; Τι καιρό έχει;,τι καιρο κανει; τι καιρο εχει,Uploaded
Ποια εποχή σου αρέσει;,ποια εποχη σου αρεσει,Uploaded
Οι μέρες είναι πιο μεγάλες.,μερες ειναι πιο μεγαλες,Uploaded
Ο αέρας,αερας,Uploaded
Ο ήλιος,ηλιος,Uploaded
Η συννεφιά,συννεφια,Uploaded
Έχει ψύχρα,εχει ψυχρα,Uploaded
θέλω θέλεις θέλει θέλουμε θέλετε θέλουν,θελω θελεις θελει θελουμε θελετε θελουν,Uploaded
λέω λές λέει λέμε λέτε λένε,λεω λες λεει λεμε λετε λενε,Uploaded
